id,enunciado,resp1,resp2,resp3,resp4,respCorrecta,nivelDif
9,¿Qué son los fondos contrapartida?,Fondos que implican una contrapartida de los países firmantes de la Agenda 2030,"Un elemento clave del fondo ODS, que requiere que cada contribución financiera del fondo ODS sea igualada por los socios del programa conjunto","Una estrategia de inversión en la que los donantes proporcionan una suma de dinero a los gobiernos de los países en desarrollo, y estos fondos son administrados por empresas extranjeras",Método de financiamiento en el que los donantes entregan fondos a ONGs que operan en países en desarrollo,2,
1,¿Qué son los ODS?,Objetivos a nivel mundial para alcanzar un mundo más justo y un futuro sostenible,Objetivos propuestos por cada país a nivel internacional en función a sus propios intereses,Una entidad gubernamental encargada de regular el uso de los recursos naturales y asegurar la sostenibilidad en el desarrollo económico,"Metas diseñadas para perpetuar la brecha entre ricos y pobres, y para asegurar que los beneficios del desarrollo económico solo lleguen a ciertos grupos privilegiados",1,
2,¿Cuántos son los ODS establecidos por las Naciones Unidas para 2030?,21,19,15,17,4,
3,¿Cuál es la fecha límite establecida por la ONU para alcanzar los ODS?,2020,2025,2030,2035,3,
4,¿Quién decidió cuáles serían los ODS para 2030?,Un grupo de empresarios multimillonarios con el objetivo de maximizar sus propios beneficios y asegurar su control sobre la economía mundial,Los líderes mundiales en el marco de las Naciones Unidas,Una organización secreta internacional de élite con el objetivo de controlar y manipular el futuro del mundo,Una comisión de organizaciones internacionales,2,
5,¿Cuándo se establecieron estos ODS?,En el año 2000,En el año 2010,En el año 2020,En el año 2015,4,
6,¿Cuál es el precedente de los ODS?,La declaración universal de derechos humanos de 1945,Los objetivos del milenio establecidos en el 2000,"La Conferencia de las Naciones Unidas sobre el Medio Humano, celebrada en Estocolmo en 1972","La Cumbre de la Tierra de las Naciones Unidas de 1992, también conocida como la Conferencia de Río",2,
14,¿Son alcanzables?,"Sí, basándonos en los logros de los 8 Objetivos del Milenio","Sí, todo es alcanzable en esta vida","No, pero sirven para avanzar hacia un mundo mejor","No, pero la gente se siente mejor así",1,
13,¿Quién hace el seguimiento del cumplimiento de los ODS a nivel mundial?,"Cada país, a través de sus agencias de datos",El jefe de gobierno de cada país,"Nadie, se espera que estén cumplidas en 2030",Las distintas agencias de las Naciones Unidas,4,
12,¿En cuántas metas se dividen los 17 objetivos?,"Los 17 objetivos se dividen en 169 metas, para facilitar su cumplimiento",Las metas concretas en las que se divide cada objetivo son definidas por los países firmantes y su número varía,No se subdividen en metas,Cada objetivo se divide en 3 metas,1,
11,¿Quiénes inspiraron los ODS?,Organizaciones internacionales y ONGs,"9 millones de personas encuestadas, de todos los rincones del mundo",Los presidentes de diversas multinacionales,Ninguno de los anteriores,2,
10,¿Cuántos países firmaron la Agenda 2030,Todos,156,193,Únicamente los europeos,3,
7,¿Quiénes son los encargados de cumplir los ODS?,Los ciudadanos como individuos,Una comisión establecida por las Naciones Unidas,"Cada uno de los países firmantes de la Agenda 2030, en base a sus propios criterios y necesidades",Las grandes empresas,3,
8,¿Quién financia el cumplimiento de las ODS?,"Fondos públicos y privados, a propuesta de un comité intergubernamental","Un comité intergubernamental, a propuesta de los países firmantes de la Agenda 2030","Un conjunto de actores clave, entre los que se incluyen los gobiernos de los países en desarrollo, y estos fondos son administrados por empresas extranjeras",Método de financiamiento en el que los donantes entregan fondos a ONGs que operan en países en desarrollo,2,
